Trait,Rel_r,Model,Value
DTA,0.941,GCA,hyb
GNP,0.918,GCA,hyb
GY,0.919,GCA,hyb
PH,0.997,GCA,hyb
TGW,0.978,GCA,hyb
DTA,0.942,SCA,hyb
GNP,0.919,SCA,hyb
GY,0.922,SCA,hyb
PH,0.998,SCA,hyb
TGW,0.979,SCA,hyb
DTA,0.9,SCA,het
GNP,0.748,SCA,het
GY,0.767,SCA,het
PH,0.974,SCA,het
TGW,0.84,SCA,het
DTA,0.884,GCA,het
GNP,0.741,GCA,het
GY,0.767,GCA,het
PH,0.956,GCA,het
TGW,0.834,GCA,het
