Trait,r_MPV,p_MPV,r_MPH,p_MPH
DTA,0.607350213840662,1.48164929592355e-231,0.466151610720485,3.22063144174878e-124
PH,0.596627380298779,1.70502933441951e-229,0.708539160437069,0
TGW,0.588464810414111,9.18503463266644e-159,0.491239707956444,7.70043170519319e-104
GY,0.251554271627041,7.99546039894915e-13,0.661053656542566,5.13343873426158e-100
GNP,0.217126648980512,2.46455803160401e-09,0.687237172426186,2.14525848474476e-104
