Trait,Model,T1F,T2,p_value
DTA,GCA,0.647,0.882,1.20983286354024e-77
DTA,GCA+SCA,0.603,0.688,8.93921642212615e-18
PH,GCA,0.071,0.793,3.90774379812763e-101
PH,GCA+SCA,0.088,0.3,3.95607978869164e-43
TGW,GCA,0.702,0.855,2.81934215401291e-41
TGW,GCA+SCA,0.493,0.459,0.00935206804244873
GY,GCA,0.158,0.702,1.60610693231428e-77
GY,GCA+SCA,0.136,0.495,2.01054839679078e-44
GNP,GCA,0.159,0.689,3.1160429992405e-78
GNP,GCA+SCA,0.11,0.225,3.69539383495697e-11
