Trait,Method,GCA,GCA+SCA,p_value
DTA,T2,0.907,0.847,1.15231894875674e-15
DTA,T1F,0.295,0.279,0.366082598369559
PH,T2,0.932,0.756,5.48490682961112e-78
PH,T1F,0.094,0.091,0.840272223403132
TGW,T2,0.908,0.813,1.4707983838194e-55
TGW,T1F,0.132,0.129,0.804917036038946
GY,T2,0.876,0.796,3.69609845009167e-40
GY,T1F,0.379,0.358,0.123459304493227
GNP,T2,0.871,0.765,3.33921981203102e-45
GNP,T1F,0.481,0.453,0.017606360398786
