Seed,Trait,Method,Model,Predictive_ability,Prediction_accuracy
146,DTA,T2,GCA+SCA,0.856755776979003,0.899953547246852
146,PH,T2,GCA,0.934290261033354,0.937101565730546
146,PH,T2,GCA+SCA,0.766262952980988,0.76934031423794
146,TGW,T2,GCA,0.899294256373554,0.917647200381177
146,TGW,T2,GCA+SCA,0.807197177112544,0.827046288025147
146,GY,T2,GCA,0.799508818977478,0.858763500512866
146,GY,T2,GCA+SCA,0.741144173726138,0.798646738929028
146,GNP,T2,GCA,0.812275196112368,0.866889216768803
146,GNP,T2,GCA+SCA,0.705206261027877,0.760740303158444
147,DTA,T2,GCA,0.934307070974681,0.978332011491813
147,DTA,T2,GCA+SCA,0.881740723898146,0.926198239388809
147,PH,T2,GCA,0.948140303271972,0.950993283121336
147,PH,T2,GCA+SCA,0.807938592714714,0.81118332601879
147,TGW,T2,GCA,0.875457887619044,0.893324375121473
147,TGW,T2,GCA+SCA,0.774875949858594,0.793930276494461
147,GY,T2,GCA,0.819493134384968,0.880228930596099
147,GY,T2,GCA+SCA,0.778344360291415,0.838733146865749
147,GNP,T2,GCA,0.795134654133821,0.848596215724462
147,GNP,T2,GCA+SCA,0.718912818441806,0.775526233486306
148,DTA,T2,GCA,0.897922504392091,0.940232988892242
148,DTA,T2,GCA+SCA,0.843939541748569,0.88649111528211
148,PH,T2,GCA,0.937421000559493,0.940241725736703
148,PH,T2,GCA+SCA,0.77245016611737,0.77555237561985
148,TGW,T2,GCA,0.895827571497268,0.914109766833947
148,TGW,T2,GCA+SCA,0.813520860899877,0.83352547223348
148,GY,T2,GCA,0.857728595130802,0.921298168776371
148,GY,T2,GCA+SCA,0.782773353446745,0.843505768800372
148,GNP,T2,GCA,0.828259934861792,0.88394870316093
148,GNP,T2,GCA+SCA,0.716106127131267,0.772498519019706
149,DTA,T2,GCA,0.84683476541038,0.886737974251707
149,DTA,T2,GCA+SCA,0.791039205578223,0.830923535271243
149,PH,T2,GCA,0.898256640397804,0.900959518954668
149,PH,T2,GCA+SCA,0.749582034053424,0.752592403668096
149,TGW,T2,GCA,0.898344255616027,0.916677811853089
149,TGW,T2,GCA+SCA,0.787467896287015,0.806831860949811
149,GY,T2,GCA,0.807268528953366,0.867098312517042
149,GY,T2,GCA+SCA,0.721733085560496,0.777729618060879
149,GNP,T2,GCA,0.794308691267921,0.847714718535668
149,GNP,T2,GCA+SCA,0.696180742708841,0.751004037442115
150,DTA,T2,GCA,0.786554289772102,0.823617057352986
150,DTA,T2,GCA+SCA,0.725657405158366,0.762245173485679
150,PH,T2,GCA,0.918802231467089,0.921566932263881
150,PH,T2,GCA+SCA,0.755449189379011,0.758483121866477
150,TGW,T2,GCA,0.841777080406082,0.858956204496002
150,TGW,T2,GCA+SCA,0.723178151627453,0.740961220929768
150,GY,T2,GCA,0.766837478327804,0.823670760824709
150,GY,T2,GCA+SCA,0.687499567299362,0.74084005096914
150,GNP,T2,GCA,0.735763410023688,0.785233095009272
150,GNP,T2,GCA+SCA,0.614840692484182,0.663258567944102
151,DTA,T2,GCA,0.841343025086342,0.880987460823395
151,DTA,T2,GCA+SCA,0.744013668792131,0.781526963016944
151,PH,T2,GCA,0.936118088531014,0.938934893210646
151,PH,T2,GCA+SCA,0.742736832579034,0.745719711424732
151,TGW,T2,GCA,0.903000850197113,0.921429438976646
151,TGW,T2,GCA+SCA,0.797787088945971,0.817404804247921
151,GY,T2,GCA,0.805698267875979,0.865411673336175
151,GY,T2,GCA+SCA,0.710658627826219,0.765795935157563
151,GNP,T2,GCA,0.833463177181085,0.889501789947796
151,GNP,T2,GCA+SCA,0.723859439084178,0.780862393834064
152,DTA,T2,GCA,0.836223954015228,0.875627176979297
152,DTA,T2,GCA+SCA,0.779414727039889,0.818712948571312
152,PH,T2,GCA,0.892387103528063,0.895072320489532
152,PH,T2,GCA+SCA,0.743675374824718,0.746662022916383
152,TGW,T2,GCA,0.879708506421197,0.897661741246119
152,TGW,T2,GCA+SCA,0.765014739688045,0.783826577549227
152,GY,T2,GCA,0.836409381584007,0.89839890610527
152,GY,T2,GCA+SCA,0.787132474311612,0.848203097318547
152,GNP,T2,GCA,0.830188759148042,0.886007213605168
152,GNP,T2,GCA+SCA,0.752203807455037,0.811438842993567
153,DTA,T2,GCA,0.732133448656832,0.766631883410296
153,DTA,T2,GCA+SCA,0.680197796242749,0.714493483448266
153,PH,T2,GCA,0.917362618234664,0.920122987196253
153,PH,T2,GCA+SCA,0.751705896529619,0.754724795712469
153,TGW,T2,GCA,0.873259928209252,0.891081559397196
153,TGW,T2,GCA+SCA,0.768800566673122,0.787705498640494
153,GY,T2,GCA,0.845086211507065,0.907718809352379
153,GY,T2,GCA+SCA,0.793694745804619,0.855274510565322
