Seed,Trait,Method,Model,Predictive_ability,Prediction_accuracy
126,TGW,T2,GCA,0.799971883242931,0.862038667287641
126,TGW,T2,GCA+SCA,0.447454670679189,0.528281783564567
126,GY,T2,GCA,0.670813467119703,0.861121267162648
126,GY,T2,GCA+SCA,0.482470610504238,0.649354792064923
126,GNP,T2,GCA,0.631569677606095,0.829920732728114
126,GNP,T2,GCA+SCA,0.190498686842054,0.270979639889124
127,DTA,T2,GCA,0.864954701499211,0.915295980422446
127,DTA,T2,GCA+SCA,0.663305061603698,0.727308181583002
127,PH,T2,GCA,0.801976285648891,0.838887328084614
127,PH,T2,GCA+SCA,0.306897480858888,0.31704285212695
127,TGW,T2,GCA,0.787082042145353,0.848148752311803
127,TGW,T2,GCA+SCA,0.385122862383013,0.454690510487619
127,GY,T2,GCA,0.70917343849147,0.910363849154646
127,GY,T2,GCA+SCA,0.602224419313192,0.810530846989492
127,GNP,T2,GCA,0.672638937880242,0.883888223232907
127,GNP,T2,GCA+SCA,0.326899199176006,0.465005973223338
128,DTA,T2,GCA,0.85709775484136,0.906981751154878
128,DTA,T2,GCA+SCA,0.620580681707214,0.680461273801769
128,PH,T2,GCA,0.742158495928188,0.776316418334924
128,PH,T2,GCA+SCA,0.205751563322445,0.212553267895088
128,TGW,T2,GCA,0.836649135664245,0.901561568603712
128,TGW,T2,GCA+SCA,0.30902277143197,0.364843885988159
128,GY,T2,GCA,0.605877941687317,0.777763724887441
128,GY,T2,GCA+SCA,0.433092483954894,0.582897017435928
128,GNP,T2,GCA,0.566038439165744,0.743808724265104
128,GNP,T2,GCA+SCA,0.178928709992485,0.254521635835683
129,DTA,T2,GCA,0.858696516618163,0.908673562558903
129,DTA,T2,GCA+SCA,0.665427186343803,0.729635072745398
129,PH,T2,GCA,0.731111099999556,0.764760564853092
129,PH,T2,GCA+SCA,0.319165211932755,0.329716128029705
129,TGW,T2,GCA,0.832448098107164,0.897034588477547
129,TGW,T2,GCA+SCA,0.509651426642226,0.601713608786572
129,GY,T2,GCA,0.451501001618932,0.579590502720067
129,GY,T2,GCA+SCA,0.257927077739963,0.347142769501969
129,GNP,T2,GCA,0.509387872378332,0.669366455162065
129,GNP,T2,GCA+SCA,0.0967984174778675,0.13769333922883
130,DTA,T2,GCA,0.799216445836803,0.845731688716193
130,DTA,T2,GCA+SCA,0.560063487422231,0.614104701120867
130,PH,T2,GCA,0.782829381362229,0.818859185525344
130,PH,T2,GCA+SCA,0.313085468826482,0.32343540168025
130,TGW,T2,GCA,0.817141096934969,0.88053997514544
130,TGW,T2,GCA+SCA,0.380563036094897,0.449307008376502
130,GY,T2,GCA,0.531345915325363,0.682087182702649
130,GY,T2,GCA+SCA,0.371395793918398,0.499859749553699
130,GNP,T2,GCA,0.51887103125126,0.681827899147516
130,GNP,T2,GCA+SCA,0.273760259440673,0.389417154254158
131,DTA,T2,GCA,0.827811154438655,0.875990639617625
131,DTA,T2,GCA+SCA,0.569748052567367,0.624723741850184
131,PH,T2,GCA,0.729686792523425,0.763270703476386
131,PH,T2,GCA+SCA,0.361009164242507,0.372943351490193
131,TGW,T2,GCA,0.85297368184249,0.919152674399235
131,TGW,T2,GCA+SCA,0.473097685826842,0.558556889996271
131,GY,T2,GCA,0.408645609707394,0.524577162653908
131,GY,T2,GCA+SCA,0.20249723107234,0.272540014902208
131,GNP,T2,GCA,0.418802327633493,0.550331573762803
131,GNP,T2,GCA+SCA,0.107651879754077,0.15313211913809
132,DTA,T2,GCA,0.837251844537403,0.885980787870268
132,DTA,T2,GCA+SCA,0.593665502997315,0.650949016444425
132,PH,T2,GCA,0.646687515143177,0.67645137567278
132,PH,T2,GCA+SCA,0.307613459065323,0.317782499034424
132,TGW,T2,GCA,0.801177282126765,0.863337588498669
132,TGW,T2,GCA+SCA,0.335773216035777,0.396426465213432
132,GY,T2,GCA,0.516487504068992,0.663013484042352
132,GY,T2,GCA+SCA,0.387110364843864,0.521009912306681
132,GNP,T2,GCA,0.419023415845171,0.550622097037019
132,GNP,T2,GCA+SCA,0.154649023362493,0.219984386006391
133,DTA,T2,GCA,0.74730670475639,0.790800745773958
133,DTA,T2,GCA+SCA,0.572042722429361,0.627239827225176
133,PH,T2,GCA,0.766632750219316,0.80191710273987
133,PH,T2,GCA+SCA,0.287925577893233,0.297443778815324
133,TGW,T2,GCA,0.816763913181373,0.8801335271351
133,TGW,T2,GCA+SCA,0.327415104954536,0.386558565471707
133,GY,T2,GCA,0.551957736884182,0.708546517181235
133,GY,T2,GCA+SCA,0.380216128163978,0.511730993491221
133,GNP,T2,GCA,0.505974432315715,0.664880988588324
133,GNP,T2,GCA+SCA,0.190778875161547,0.271378200798787
134,DTA,T2,GCA,0.853144731846695,0.90279865803883
134,DTA,T2,GCA+SCA,0.652091887678218,0.715013034734888
134,PH,T2,GCA,0.723800061141679,0.757113034667028
134,PH,T2,GCA+SCA,0.365356456068401,0.377434355442563
134,TGW,T2,GCA,0.76406451901259,0.823345386867015
134,TGW,T2,GCA+SCA,0.409040332251282,0.482928373378136
134,GY,T2,GCA,0.404684062281564,0.519491735919851
134,GY,T2,GCA+SCA,0.3200014921315,0.430688414712651
134,GNP,T2,GCA,0.390827073689027,0.513570399065739
134,GNP,T2,GCA+SCA,0.182997363648802,0.26030919437952
135,DTA,T2,GCA,0.805344619106993,0.852216528155548
135,DTA,T2,GCA+SCA,0.537689959438397,0.589572323945611
135,PH,T2,GCA,0.651327406952595,0.68130481898807
135,PH,T2,GCA+SCA,0.270583585056851,0.279528496959557
135,TGW,T2,GCA,0.79850337271587,0.860456220598998
135,TGW,T2,GCA+SCA,0.349832406757707,0.41302527362185
135,GY,T2,GCA,0.424708713373044,0.545197321403138
135,GY,T2,GCA+SCA,0.219736142581924,0.295741780056425
135,GNP,T2,GCA,0.430814483415163,0.566116272556062
135,GNP,T2,GCA+SCA,0.103223353125577,0.146832650249753
136,DTA,T2,GCA,0.805238129633053,0.852103840881537
136,DTA,T2,GCA+SCA,0.592487550510139,0.649657401875153
136,PH,T2,GCA,0.67474618809479,0.705801451981998
136,PH,T2,GCA+SCA,0.121875834447269,0.125904787652137
136,TGW,T2,GCA,0.786558986269236,0.847585114514263
136,TGW,T2,GCA+SCA,0.39287566987731,0.463843766088914
136,GY,T2,GCA,0.646489979100198,0.829897277407186
136,GY,T2,GCA+SCA,0.443080391348602,0.596339692259222
136,GNP,T2,GCA,0.600314998214445,0.78885019476274
136,GNP,T2,GCA+SCA,0.153850193789424,0.218848070824217
137,DTA,T2,GCA,0.789540062447511,0.835492129574086
137,DTA,T2,GCA+SCA,0.560346810548529,0.614415362443563
137,PH,T2,GCA,0.735834593853407,0.769701458005656
137,PH,T2,GCA+SCA,0.24228155929585,0.250290867041168
137,TGW,T2,GCA,0.793650993015812,0.85522736316359
137,TGW,T2,GCA+SCA,0.345004323233587,0.407325056946383
137,GY,T2,GCA,0.495157445711909,0.635632151106429
137,GY,T2,GCA+SCA,0.361211664282098,0.486152980191249
137,GNP,T2,GCA,0.469742455213751,0.617269980569975
137,GNP,T2,GCA+SCA,0.191763587936836,0.272778930208871
138,DTA,T2,GCA,0.898228469823785,0.950506317273846
138,DTA,T2,GCA+SCA,0.757259989444843,0.830328935794784
138,PH,T2,GCA,0.785702874332972,0.82186493131064
138,PH,T2,GCA+SCA,0.320767264542714,0.331371141056522
138,TGW,T2,GCA,0.771952750560324,0.83184563637966
138,TGW,T2,GCA+SCA,0.415482845686105,0.490534646618778
138,GY,T2,GCA,0.444335853029572,0.57039262263103
138,GY,T2,GCA+SCA,0.362006536506179,0.487222794759326
138,GNP,T2,GCA,0.420104339655563,0.552042496262238
138,GNP,T2,GCA+SCA,0.144573068308428,0.2056515907659
139,DTA,T2,GCA,0.815176488627333,0.862620622886067
139,DTA,T2,GCA+SCA,0.679618770702532,0.745196020507163
139,PH,T2,GCA,0.718685496433989,0.751763071583671
139,PH,T2,GCA+SCA,0.306452026413795,0.316582671915078
139,TGW,T2,GCA,0.83823697221908,0.903272599374008
139,TGW,T2,GCA+SCA,0.445025150488859,0.525413400813293
139,GY,T2,GCA,0.643654631874342,0.826257550544727
139,GY,T2,GCA+SCA,0.488866099329858,0.657962448626997
139,GNP,T2,GCA,0.587895221369662,0.77252985725317
139,GNP,T2,GCA+SCA,0.209136938531206,0.297492088949084
140,DTA,T2,GCA,0.82240155244804,0.870266193066709
140,DTA,T2,GCA+SCA,0.605068496918489,0.663452299252729
140,PH,T2,GCA,0.783489162284767,0.819549332933857
140,PH,T2,GCA+SCA,0.329019834261273,0.339896522997183
140,TGW,T2,GCA,0.814333762134566,0.877514829886386
140,TGW,T2,GCA+SCA,0.309661282286532,0.36559773587548
140,GY,T2,GCA,0.38180608398216,0.49012334272421
140,GY,T2,GCA+SCA,0.141502917685454,0.190448072254986
140,GNP,T2,GCA,0.427720760096931,0.56205093311029
140,GNP,T2,GCA+SCA,-8.41540828521436e-05,-0.000119707087983135
141,DTA,T2,GCA,0.849645838699799,0.899096125608253
141,DTA,T2,GCA+SCA,0.621158011270779,0.681094310603924
141,PH,T2,GCA,0.762493801158177,0.797587658115248
141,PH,T2,GCA+SCA,0.0814371349424316,0.0841292716347434
141,TGW,T2,GCA,0.819030822403822,0.882576317245498
141,TGW,T2,GCA+SCA,0.445567255054526,0.526053429816441
141,GY,T2,GCA,0.527238737610295,0.67681481079627
141,GY,T2,GCA+SCA,0.407379157266876,0.548289579094046
141,GNP,T2,GCA,0.435271133109061,0.57197257964397
141,GNP,T2,GCA+SCA,0.215520526915737,0.306572584517407
142,DTA,T2,GCA,0.876599849318278,0.92761888816749
142,DTA,T2,GCA+SCA,0.666815855076906,0.731157735829941
142,PH,T2,GCA,0.775891301302485,0.81160177960511
142,PH,T2,GCA+SCA,0.321599651856669,0.332231045306476
142,TGW,T2,GCA,0.581572360554835,0.626694354046159
142,TGW,T2,GCA+SCA,0.0487654797799468,0.0575743562927353
142,GY,T2,GCA,0.59001034491004,0.757394537753582
142,GY,T2,GCA+SCA,0.457237045999205,0.615393063255995
